,Item Name,Item Price
0,Addison Rae: I Need A Bad Bleep Black Hoodie,67
1,Addison Rae: Pouty Face Pink Shirt,32
2,Addison Rae: For You Mint Hoodie,62
3,Addison Rae: Too Smiley For You Vintage Black Hoodie,62
4,Addison Rae: For You Blue Shirt,20
5,Addison Rae: Youth Pouty Face Pink Shirt,24
6,Addison Rae: Youth For You Blue Shirt,24
